bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,timeslots,timeslots,timeslots,timeslots,timeslots,timeslots,timeslots,timeslots,timeslots,content,content,content,content,content,content,content,categories,categories,categories,categories,categories
categoria,nome_it,attivo,prezzo,descrizione_it,nome_en,descrizione_en,tipo,all_1_glutine,opzione_senza_glutine,all_2_crostacei,all_3_uova,all_4_pesce,all_5_arachidi,all_6_soia,all_7_latte,opzione_latte_vegetale,all_8_frutta_a_guscio,all_9_sedano,all_10_senape,all_11_sesamo,all_12_solfiti,all_13_lupini,all_14_molluschi,categoria,nome_it,attivo,prezzo,descrizione_it,nome_en,descrizione_en,tipo,all_1_glutine,opzione_senza_glutine,all_2_crostacei,all_3_uova,all_4_pesce,all_5_arachidi,all_6_soia,all_7_latte,opzione_latte_vegetale,all_8_frutta_a_guscio,all_9_sedano,all_10_senape,all_11_sesamo,all_12_solfiti,all_13_lupini,all_14_molluschi,id_fascia,etichetta_it,etichetta_en,giorno,apertura,chiusura,cucina_aperta,mostra_in_hero,mostra_in_info,tipo,etichetta_it,etichetta_en,testo_it,testo_en,link,stile,id_categoria,etichetta_it,etichetta_en,ordine,menu
spritz,Spritz Aperol,TRUE,6,"Aperol, Prosecco",Aperol Spritz,"Aperol, Prosecco",non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,antipasti_aperitivo,Pakora Di Erbe Di Stagione Con Salsa Aioli,TRUE,5,"Frittelle di erbe, salsa aioli",Seasonal Herb Pakora With Aioli Sauce,"Herb fritters, aioli sauce",vegano,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,apertura,Apertura,Opening,lun,"0,2916666667","0,9583333333",FALSE,FALSE,TRUE,intestazione_cucina,Piatti del Giorno,Daily Specials,Scopri i nostri piatti del giorno!,Discover our daily specials!,,semplice,spritz,Spritz,Spritz,1,bar
spritz,Spritz Campari,TRUE,6,"Campari, Prosecco",Campari Spritz,"Campari, Prosecco",non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,antipasti_aperitivo,Arancino Vegetariano,TRUE,"3,5","Palla di riso impanata, ripieno vegetariano",Vegetarian Arancino,"Breaded rice ball, vegetarian filling",vegetariano,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,apertura,Apertura,Opening,mar,"0,2916666667","0,9583333333",FALSE,FALSE,TRUE,intestazione_bar,Bevande,Drinks,Ampia selezione di vini e cocktail.,Wide selection of wines and cocktails.,,semplice,cocktails,Cocktails,Cocktails,2,bar
spritz,Spritz Tassoni,TRUE,6,"Tassoni, Prosecco",Tassoni Spritz,"Tassoni, Prosecco",non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,antipasti_aperitivo,Vitello Tonnato,TRUE,"8,5","Vitello a fette, salsa al tonno",Veal With Tuna Sauce,"Sliced veal, tuna sauce",standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,apertura,Apertura,Opening,mer,"0,2916666667","0,9583333333",FALSE,FALSE,TRUE,testo,Chi Siamo,About Us,"Benvenuti nel nostro locale! Offriamo prodotti freschi e di qualità, selezionati con cura per garantirvi un'esperienza indimenticabile.","Welcome to our place! We offer fresh, quality products, carefully selected to guarantee you an unforgettable experience.",,card_colorata,vini,Vini,Wines,3,bar
spritz,Spritz Bianco,TRUE,6,"Prosecco, Soda",White Spritz,"Prosecco, Soda",non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,antipasti_aperitivo,Funghi Impanati,TRUE,4,Funghi impanati,Breaded Mushrooms,Breaded mushrooms,vegano,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,apertura,Apertura,Opening,gio,"0,2916666667","0,9583333333",FALSE,FALSE,TRUE,testo,Aiutaci a crescere,,Aiutaci a capire come possiamo rispondere bene ai bisogni del territorio.,,,semplice,vini_bottiglie,Vini - Bottiglie,Wines - Bottles,4,bar
spritz,Spritz 13,TRUE,6,"Prosecco, succo di fragola, soda, lime",Spritz 13,"Prosecco, strawberry juice, soda, lime",non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,scarpette,Ragù,TRUE,3,Assaggio di ragù con pane caldo,Ragù,Ragù tasting with warm bread,standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,apertura,Apertura,Opening,ven,"0,2916666667","0,04166666667",FALSE,FALSE,TRUE,pulsante_link,Compila il form,Fill out the form,,,https://iltuobar.it/menu,primario,amari,Amari,Bitters,5,bar
spritz,Spritz Analcolico,TRUE,5,Versione senza alcol,Non-Alcoholic Spritz,Non-alcoholic version,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,scarpette,Crema Di Fave E Cicoria,TRUE,3,"Assaggio di crema di fave e cicoria, pane caldo",Broad Bean & Chicory Cream,"Broad bean and chicory cream, warm bread",vegano,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,apertura,Apertura,Opening,sab,"0,3333333333","0,08333333333",FALSE,FALSE,TRUE,testo,Eventi,Events,Ogni venerdì musica dal vivo a partire dalle 22:00.,Live music every Friday starting at 10 PM.,,semplice,birre,Birre,Beers,6,bar
cocktails,Gin Tonic,TRUE,7,"Gin, Acqua Tonica",Gin And Tonic,"Gin, Tonic Water",non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,scarpette,Polpette Al Sugo,TRUE,3,Assaggio di polpette al sugo con pane caldo,Meatballs With Sauce,Meatballs with sauce (appetizer portion),standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,apertura,Apertura,Opening,dom,"0,3333333333","0,9583333333",FALSE,FALSE,TRUE,testo,Prenotazioni,Reservations,Consigliamo la prenotazione per il fine settimana.,We recommend booking for weekends.,,semplice,caffetteria,Caffetteria,Café,7,bar
cocktails,Gin Lemon,TRUE,7,"Gin, Lemon",Gin And Lemon,"Gin, Lemon",non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,zuppa_del_mese,Zuppa Di Lenticchie E Patate Speziate,FALSE,14,"Quinoa, verdure grigliate, hummus",Buddha Bowl,"Quinoa, grilled vegetables, hummus",vegano,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,pranzo,Pranzo,Lunch,lun,"0,5","0,625",TRUE,TRUE,TRUE,pulsante_link,Prenota un Tavolo,Book a Table,,,tel:+390612345678,primario,soft_drinks,Soft Drinks,Soft Drinks,8,bar
cocktails,Vodka Tonic,TRUE,7,"Vodka, Acqua Tonica",Vodka And Tonic,"Vodka, Tonic Water",non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,primi,Rigatoni Alla Francesca,TRUE,7,"Porri arrostiti, miso, polvere di porcini, mandorle",Rigatoni Alla Francesca,"Roasted leeks, miso, porcini powder, almonds",vegano,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pranzo,Pranzo,Lunch,mar,"0,5","0,625",TRUE,TRUE,TRUE,pulsante_link,Scrivici su WhatsApp,Message us on WhatsApp,,,https://wa.me/391234567890,secondario,antipasti_aperitivo,Antipasti/Aperitivo,Appetizers/Aperitif,1,kitchen
cocktails,Vodka Lemon,TRUE,7,"Vodka, Lemon",Vodka And Lemon,"Vodka, Lemon",non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,primi,Tagliatelle Fatte A Mano Con Ragù Fino E Finocchietto,TRUE,7,"Tagliatelle, ragù fino, finocchietto",Handmade Tagliatelle With Fine Ragù And Fennel,"Tagliatelle, fine ragù, wild fennel",standard,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pranzo,Pranzo,Lunch,mer,"0,5","0,625",TRUE,TRUE,TRUE,,,,,,,,scarpette,Le Scarpette,Dipping Dishes,2,kitchen
cocktails,Vodka Red Bull,TRUE,7,"Vodka, Red Bull",Vodka And Red Bull,"Vodka, Red Bull",non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,primi,"Gnocchetti Con Pesto Di Cime Di Rapa, Crema Di Pecorino E Mollica",TRUE,8,"Pesto cime di rapa, crema Pecorino, mollica","Gnocchetti With Turnip Top Pesto, Pecorino Cream, And Breadcrumbs","Turnip top pesto, Pecorino cream, breadcrumbs",vegetariano,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pranzo,Pranzo,Lunch,gio,"0,5","0,625",TRUE,TRUE,TRUE,,,,,,,,zuppa_del_mese,La Zuppa del Mese,The Soup of the Month,3,kitchen
cocktails,Paloma,TRUE,7,"Tequila, soda al pompelmo",Paloma,"Tequila, grapefruit soda",non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,primi,Fave E Cicoria,TRUE,5,Fave e cicoria,Broad Beans And Chicory,Broad beans and chicory,vegano,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pranzo,Pranzo,Lunch,ven,"0,5","0,625",TRUE,TRUE,TRUE,,,,,,,,primi,Primi,First Courses,4,kitchen
cocktails,Americano,TRUE,7,"Campari, Vermouth Rosso, Soda",Americano,"Campari, Red Vermouth, Soda",non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,secondi,Polpette Al Sugo,TRUE,6,Polpette di carne al sugo,Meatballs With Sauce,Meatballs with sauce,standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pranzo,Pranzo,Lunch,sab,"0,5208333333","0,6458333333",TRUE,TRUE,TRUE,,,,,,,,secondi,Secondi,Main Courses,5,kitchen
cocktails,Negroni,TRUE,8,"Gin, Campari, Vermouth Rosso",Negroni,"Gin, Campari, Red Vermouth",non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,secondi,Polenta Con Ragù Di Funghi E Lenticchie,TRUE,7,"Polenta, ragù di funghi e lenticchie",Polenta With Mushroom And Lentil Ragù,"Polenta, mushroom and lentil ragù",vegano,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pranzo,Pranzo,Lunch,dom,"0,5208333333","0,6458333333",TRUE,TRUE,TRUE,,,,,,,,contorni,Contorni,Side dishes,6,kitchen
cocktails,Sbagliato,TRUE,8,"Campari, Vermouth Rosso, Spumante",Sbagliato,"Campari, Red Vermouth, Sparkling Wine",non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,secondi,Saganaki,TRUE,"7,5","Formaggio impanato, marmellata di cipolle, insalata di cavolo rosso",Saganaki,"Breaded cheese, onion jam, red cabbage salad",vegetariano,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,aperitivo,Aperitivo,Aperitivo,lun,"0,75","0,8333333333",FALSE,TRUE,FALSE,,,,,,,,dolci,Dolci,Desserts,7,kitchen
cocktails,Moscow Mule,TRUE,8,"Vodka, Ginger Beer, Lime",Moscow Mule,"Vodka, Ginger Beer, Lime",non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,contorni,Patate Fritte Fatte In Casa,TRUE,3,Patate fritte fresche,Homemade French Fries,Freshly made french fries,vegano,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,aperitivo,Aperitivo,Aperitivo,mar,"0,75","0,8333333333",FALSE,TRUE,FALSE,,,,,,,,,,,,
cocktails,London Mule,TRUE,8,"Gin, Ginger Beer, Lime",London Mule,"Gin, Ginger Beer, Lime",non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,contorni,Ratatouille D'Inverno,TRUE,4,"Verdure di stagione al forno, erbe aromatiche",Winter Ratatouille,"Seasonal baked vegetables, aromatic herbs",vegano,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,aperitivo,Aperitivo,Aperitivo,mer,"0,75","0,8333333333",FALSE,TRUE,FALSE,,,,,,,,,,,,
vini,Vino Rosso Valpolicella Recchia Classico Doc,TRUE,5,Valpolicella Recchia Classico DOC,Valpolicella Red Wine,Valpolicella Recchia Classico DOC,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,contorni,Cicoria Ripassata,TRUE,3,Cicoria ripassata,Sautéed Chicory,Sautéed chicory,vegano,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,aperitivo,Aperitivo,Aperitivo,gio,"0,75","0,8333333333",FALSE,TRUE,FALSE,,,,,,,,,,,,
vini_bottiglie,Bottiglia Valpolicella Recchia Classico Doc,TRUE,18,Valpolicella Recchia Classico DOC Bottiglia,Bottle Valpolicella Red Wine,Valpolicella Recchia Classico DOC Bottle,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,dolci,Dolce Del Giorno,TRUE,4,Dolce del giorno,Dessert Of The Day,Dessert of the day,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,aperitivo,Aperitivo,Aperitivo,ven,"0,75","0,875",FALSE,TRUE,FALSE,,,,,,,,,,,,
